strain,stress
0.19781,98.694
0.198,98.197
0.1982,98.678
0.19843,98.572
0.19862,98.222
0.19883,97.829
0.19901,98.02
0.19921,97.821
0.19941,97.969
0.19957,97.677
0.19981,98.199
0.20001,97.873
0.20021,97.921
0.2004,97.272
0.20061,97.685
0.20082,97.766
0.20103,97.127
0.20123,97.46
0.20142,97.337
0.20163,97.645
0.20182,97.783
0.20203,97.364
0.20224,96.96
0.20242,96.614
0.20261,96.51
0.20281,96.987
0.20298,96.782
0.20321,97.151
0.20342,96.772
0.2036,96.775
0.20381,96.965
0.20402,97.406
0.20421,97.285
0.20444,96.767
0.20463,96.294
0.20481,96.381
0.20502,97.629
0.20524,96.973
0.20542,95.647
0.2056,95.648
0.20577,96.041
0.20599,97.001
0.20622,96.829
0.2064,95.832
0.2066,96.119
0.20679,96.464
0.207,97.099
0.20722,96.519
0.20743,96.693
0.20758,96.411
0.20782,97.208
0.20804,96.96
0.2082,96.18
0.20839,96.751
0.20861,97.057
0.20879,96.754
0.20901,96.234
0.20918,95.447
0.20937,95.693
0.20957,95.943
0.20978,96.501
0.21001,96.426
0.21021,95.492
0.2104,95.662
0.21059,95.522
0.21082,96.226
0.211,96.283
0.21123,96.509
0.21142,95.618
0.21161,95.437
0.21182,95.557
0.21201,95.162
0.21219,95.638
0.2124,95.632
0.21258,95.768
0.21278,96.186
0.21301,95.684
0.2132,94.905
0.21338,94.482
0.21358,94.691
0.21379,95.84
0.21401,95.374
0.21422,94.989
0.2144,94.753
0.2146,94.758
0.21482,95.053
0.21502,94.967
0.21522,94.747
0.21542,94.523
0.2156,94.956
0.21582,94.726
0.21601,94.683
0.21621,94.667
0.21639,94.504
0.21662,94.522
0.21679,93.587
0.217,93.534
0.21719,93.295
0.2174,93.515
0.21761,93.317
0.21782,92.896
0.21801,93.306
0.21823,93.259
0.21842,93.251
0.21862,93.104
0.21884,93.213
0.21901,93.36
0.21921,92.786
0.21942,92.566
0.21959,92.406
0.21976,92.948
0.22,93.834
0.2202,93.624
0.22041,92.787
0.22059,92.676
0.22078,93.257
0.22101,93.29
0.22123,93.069
0.2214,93.296
0.22162,93.595
0.22184,93.665
0.22202,92.773
0.22222,92.88
0.2224,93.607
0.2226,93.807
0.22285,93.668
0.22301,92.592
0.2232,92.762
0.22338,92.653
0.22357,93.281
0.22379,93.529
0.224,93.01
0.22417,93.172
0.22438,93.209
0.22459,93.214
0.22479,93.853
0.22501,92.994
0.22521,92.589
0.22539,92.566
0.2256,93.033
0.22582,93.276
0.226,92.883
0.22622,92.738
0.22642,92.242
0.2266,92.414
0.22679,92.431
0.22702,93.46
0.22721,92.921
0.22743,92.233
0.22762,92.039
0.22779,92.165
0.22801,92.814
0.22821,92.652
0.22838,91.529
0.2286,92.27
0.22879,91.999
0.22897,92.593
0.22921,92.354
0.22939,92.176
0.22957,92.385
0.22981,92.13
0.22998,91.759
0.23017,91.87
0.2304,92.414
0.2306,91.766
0.23078,91.47
0.23099,91.949
0.23118,92.196
0.23141,92.182
0.23163,91.438
0.23179,91.423
0.232,91.895
0.23223,91.703
0.23241,91.179
0.2326,90.688
0.23281,91.877
0.23299,92.161
0.23323,92.474
0.23344,91.939
0.23359,91.264
0.23381,92.135
0.23402,92.33
0.23422,92.085
0.23445,91.214
0.23462,90.299
0.2348,90.454
0.23499,90.705
0.2352,91.299
0.2354,91.122
0.23563,90.418
0.23581,90.245
0.23598,90.535
0.23619,91.081
0.2364,90.806
0.23659,90.422
0.23678,90.352
0.23697,91.548
0.23721,91.764
0.23741,91.293
0.2376,90.304
0.23781,90.007
0.238,90.272
0.23818,90.518
0.23844,90.51
0.23863,89.95
0.23878,89.896
0.239,90.679
0.23922,90.893
0.2394,90.123
0.23963,89.828
0.2398,89.667
0.24,90.544
0.24024,89.985
0.24039,90.021
0.24061,90.497
0.24082,89.746
0.24101,89.743
0.24121,89.963
0.24142,90.083
